MedInc,MedHouseVal,data_id
8.3252,4.526,240.20555555555555
8.3014,3.585,2318.749841827768
7.2574,3.521,414.4122598870057
5.6431,3.413,476.14794520547946
3.8462,3.422,482.7814671814672
4.0368,2.697,330.73989637305704
3.6591,2.992,1011.7184046692607
3.12,2.414,1074.3782534775887
2.0804,2.267,1123.6068907563024
3.6912,2.611,1468.7622689075629
3.2031,2.815,827.8536815920398
3.2705,2.418,1421.6390463215257
3.075,2.135,1015.9361538461538
2.6736,1.913,262.56275862068964
1.9167,1.592,1129.5448387096774
2.125,1.4,615.2301515151515
2.775,1.525,710.9757703927493
2.1202,1.555,565.7186138613862
1.9911,1.587,907.9427684964201
2.6033,1.629,608.079090909091
1.3578,1.475,327.04385542168677
1.7135,1.598,847.1182513661203
1.725,1.139,932.6934309623432
2.1806,0.997,771.1946153846154
2.6,1.326,923.9538862559242
2.4038,1.075,235.23386554621848
2.4597,0.938,525.1097489539749
1.808,1.055,1020.3458186397984
1.6424,1.089,1048.9511205073995
1.6875,1.32,313.1083870967742
1.9274,1.223,780.8430687830687
1.9615,1.152,1086.2085260770975
1.7969,1.104,944.6326865671642
1.375,1.049,671.8517933130698
2.7303,1.097,1175.907014925373
1.4861,0.972,487.71909090909094
1.0972,1.045,905.199037433155
1.4103,1.039,818.7857320099255
3.48,1.914,606.7997734627832
2.5898,1.76,1294.548448275862
2.0978,1.554,863.9649367088607
1.2852,1.5,434.6463052208835
1.025,1.188,380.02444444444444
3.9643,1.888,384.93858585858584
3.0125,1.844,577.8302739726026
2.6768,1.823,635.4495811518324
2.026,1.425,533.5963157894736
1.7348,1.375,475.75553359683795
0.9506,1.875,341.20375
1.775,1.125,617.5386363636363
0.9218,1.719,652.2280821917808
1.5045,0.938,979.1568796068796
1.1108,0.975,1877.2708333333333
1.2475,1.042,1080.455
1.6098,0.875,619.5485836909871
1.4113,0.831,494.1581818181818
1.5057,0.875,539.9415444015443
0.8172,0.853,646.523606557377
1.2171,0.803,993.072894736842
2.5625,0.6,11.179122807017546
3.3929,0.757,472.5025668449197
6.1183,0.75,5.2691304347826105
0.9011,0.861,295.6101639344262
1.191,0.761,439.78672955974844
2.5938,0.735,310.45736842105265
1.1667,0.784,522.7399465240642
0.8056,0.844,705.8834939759037
2.6094,0.813,410.8569387755102
1.8516,0.85,192.85146341463414
0.9802,1.292,1741.5036333878886
1.7719,0.825,310.6066141732283
0.7286,0.952,499.62108303249096
1.75,0.75,479.20421052631576
0.4999,0.675,-63.908571428571435
2.483,1.375,207.70045112781952
0.9241,1.775,679.2657630979498
2.4464,1.021,1153.9582907662082
1.1111,1.083,640.0130917874396
0.8026,1.125,972.7630769230769
2.0114,1.313,261.7393548387097
1.5,1.625,526.6372664359861
1.1667,1.125,101.80785714285715
1.5208,1.125,117.82885057471265
0.8075,1.375,263.7622580645161
1.8088,1.188,385.2933136094674
2.4083,0.982,295.8082608695652
0.977,1.188,499.07157894736844
0.76,1.625,463.19454545454545
0.9722,1.375,43.735128205128206
1.2434,5.00001,316.18882352941176
2.0938,1.625,717.7399447513812
0.8668,1.375,829.7927272727272
0.75,1.625,112.13764705882352
2.6354,1.875,635.8974834437086
1.8477,1.792,1245.3715417558885
2.0096,1.3,3386.033327593629
2.8345,1.838,1965.295593220339
2.0062,1.25,119.76978021978022
1.2185,1.7,1941.1792
2.6104,1.931,1755.4355102040815
2.4912,2.578,2221.4031999999997
3.2177,2.734,2480.2720908483634
3.125,2.375,306.2661403508772
2.5795,3.5,812.0200326264273
2.8406,3.357,2606.0530743432087
4.9306,3.134,592.3422950819672
3.2727,2.685,626.1248245614036
3.1691,2.594,603.1855924170616
3.9,2.757,1361.5911420612813
3.9063,2.25,1437.4652618453865
5.0917,2.625,467.74391304347824
2.6429,2.185,1723.3371232876711
3.0233,2.55,1666.0071405094493
3.1484,2.241,856.3892485549134
3.4722,2.431,592.1795260663507
3.1429,2.316,451.41505154639174
2.4234,2.185,2475.1200361228175
3.0897,2.341,1703.3022757955641
5.8596,3.276,888.2105361930295
5.2868,3.476,1015.8739175257732
5.956,3.661,711.7017021276596
4.9643,3.35,15.695106382978738
6.3434,3.736,979.2527543424318
5.1773,3.895,1094.7207207207207
7.2354,3.911,819.0650408719346
5.457,3.373,1948.7544769874478
7.5,2.952,948.7724008350731
6.0194,2.923,1275.9047068676718
7.5544,4.115,1534.0909480122323
6.0666,3.115,762.1006413994169
7.0548,3.259,1057.9283870967743
11.6017,3.926,451.3974226804124
7.4882,3.193,990.0598645598194
6.8976,3.333,1544.7440208877283
8.2049,3.352,381.07684210526315
8.401,3.512,460.1987203791469
6.8538,3.689,579.097249070632
8.317,3.659,553.0444486692015
7.0175,3.667,338.00636363636363
6.3302,3.628,1183.1499999999999
6.3624,4.833,44.053076923076915
