,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,data_id
0,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,240.20555555555555
1,21.0,6.24,0.97,2401.0,2.11,37.86,-122.22,2318.749841827768
2,52.0,8.29,1.07,496.0,2.8,37.85,-122.24,414.4122598870057
3,52.0,5.82,1.07,558.0,2.55,37.85,-122.25,476.14794520547946
4,52.0,6.28,1.08,565.0,2.18,37.85,-122.25,482.7814671814672
5,52.0,4.76,1.1,413.0,2.14,37.85,-122.25,330.73989637305704
6,52.0,4.93,0.95,1094.0,2.13,37.84,-122.25,1011.7184046692608
7,52.0,4.8,1.06,1157.0,1.79,37.84,-122.25,1074.3782534775887
8,42.0,4.29,1.12,1206.0,2.03,37.84,-122.26,1123.6068907563024
9,52.0,4.97,0.99,1551.0,2.17,37.84,-122.25,1468.7622689075629
10,52.0,5.48,1.08,910.0,2.26,37.85,-122.26,827.8536815920398
11,52.0,4.77,1.02,1504.0,2.05,37.85,-122.26,1421.6390463215257
12,52.0,5.32,1.01,1098.0,2.35,37.85,-122.26,1015.9361538461538
13,52.0,4.0,1.1,345.0,1.98,37.84,-122.26,262.56275862068964
14,52.0,4.26,1.01,1212.0,1.95,37.85,-122.26,1129.5448387096774
15,50.0,4.24,1.07,697.0,2.64,37.85,-122.26,615.2301515151515
16,52.0,5.94,1.05,793.0,2.4,37.85,-122.27,710.9757703927493
17,52.0,4.05,0.97,648.0,2.14,37.85,-122.27,565.7186138613862
18,50.0,5.34,1.09,990.0,2.36,37.84,-122.26,907.94276849642
19,52.0,5.47,1.08,690.0,2.51,37.84,-122.27,608.079090909091
20,40.0,4.52,1.11,409.0,2.46,37.85,-122.27,327.0438554216868
21,42.0,4.48,1.0,929.0,2.54,37.85,-122.27,847.1182513661203
22,52.0,5.1,1.13,1015.0,2.12,37.84,-122.27,932.6934309623432
23,52.0,5.19,1.04,853.0,2.62,37.84,-122.27,771.1946153846154
24,52.0,5.27,1.04,1006.0,2.38,37.84,-122.27,923.9538862559242
25,41.0,4.5,1.03,317.0,2.66,37.85,-122.28,235.23386554621848
26,49.0,4.73,1.02,607.0,2.54,37.85,-122.28,525.1097489539749
