,Unnamed: 0,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedInc,MedHouseVal
0,0,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,8.3252,4.526
1,1,21.0,6.24,0.97,2401.0,2.11,37.86,-122.22,8.3014,3.585
2,2,52.0,8.29,1.07,496.0,2.8,37.85,-122.24,7.2574,3.521
3,3,52.0,5.82,1.07,558.0,2.55,37.85,-122.25,5.6431,3.413
4,4,52.0,6.28,1.08,565.0,2.18,37.85,-122.25,3.8462,3.422
5,5,52.0,4.76,1.1,413.0,2.14,37.85,-122.25,4.0368,2.697
6,6,52.0,4.93,0.95,1094.0,2.13,37.84,-122.25,3.6591,2.992
7,7,52.0,4.8,1.06,1157.0,1.79,37.84,-122.25,3.12,2.414
8,8,42.0,4.29,1.12,1206.0,2.03,37.84,-122.26,2.0804,2.267
9,9,52.0,4.97,0.99,1551.0,2.17,37.84,-122.25,3.6912,2.611
10,10,52.0,5.48,1.08,910.0,2.26,37.85,-122.26,3.2031,2.815
11,11,52.0,4.77,1.02,1504.0,2.05,37.85,-122.26,3.2705,2.418
12,12,52.0,5.32,1.01,1098.0,2.35,37.85,-122.26,3.075,2.135
13,13,52.0,4.0,1.1,345.0,1.98,37.84,-122.26,2.6736,1.913
14,14,52.0,4.26,1.01,1212.0,1.95,37.85,-122.26,1.9167,1.592
15,15,50.0,4.24,1.07,697.0,2.64,37.85,-122.26,2.125,1.4
16,16,52.0,5.94,1.05,793.0,2.4,37.85,-122.27,2.775,1.525
17,17,52.0,4.05,0.97,648.0,2.14,37.85,-122.27,2.1202,1.555
18,18,50.0,5.34,1.09,990.0,2.36,37.84,-122.26,1.9911,1.587
19,19,52.0,5.47,1.08,690.0,2.51,37.84,-122.27,2.6033,1.629
20,20,40.0,4.52,1.11,409.0,2.46,37.85,-122.27,1.3578,1.475
21,21,42.0,4.48,1.0,929.0,2.54,37.85,-122.27,1.7135,1.598
22,22,52.0,5.1,1.13,1015.0,2.12,37.84,-122.27,1.725,1.139
23,23,52.0,5.19,1.04,853.0,2.62,37.84,-122.27,2.1806,0.997
24,24,52.0,5.27,1.04,1006.0,2.38,37.84,-122.27,2.6,1.326
25,25,41.0,4.5,1.03,317.0,2.66,37.85,-122.28,2.4038,1.075
26,26,49.0,4.73,1.02,607.0,2.54,37.85,-122.28,2.4597,0.938
27,27,52.0,4.78,1.06,1102.0,2.78,37.85,-122.28,1.808,1.055
28,28,50.0,4.4,1.04,1131.0,2.39,37.84,-122.28,1.6424,1.089
29,29,52.0,4.7,1.03,395.0,2.55,37.84,-122.28,1.6875,1.32
30,30,49.0,5.07,1.18,863.0,2.28,37.84,-122.28,1.9274,1.223
31,31,52.0,4.88,1.09,1168.0,2.65,37.84,-122.28,1.9615,1.152
32,32,48.0,5.74,1.22,1026.0,3.06,37.84,-122.27,1.7969,1.104
33,33,49.0,5.03,1.11,754.0,2.29,37.83,-122.27,1.375,1.049
34,34,51.0,4.97,1.07,1258.0,2.35,37.83,-122.27,2.7303,1.097
35,35,49.0,4.6,1.07,570.0,2.16,37.83,-122.27,1.4861,0.972
36,36,48.0,4.81,1.16,987.0,2.64,37.83,-122.27,1.0972,1.045
37,37,52.0,3.75,0.97,901.0,2.24,37.83,-122.28,1.4103,1.039
38,38,52.0,4.76,1.07,689.0,2.23,37.83,-122.26,3.48,1.914
39,39,52.0,3.49,1.03,1377.0,1.98,37.83,-122.26,2.5898,1.76
40,40,52.0,4.22,1.06,946.0,2.39,37.83,-122.26,2.0978,1.554
41,41,51.0,3.76,1.25,517.0,2.08,37.83,-122.26,1.2852,1.5
42,42,49.0,3.77,1.07,462.0,2.44,37.84,-122.26,1.025,1.188
43,43,52.0,4.8,1.02,467.0,2.36,37.84,-122.26,3.9643,1.888
44,44,52.0,4.94,1.07,660.0,2.26,37.83,-122.26,3.0125,1.844
45,45,52.0,4.34,1.1,718.0,1.88,37.83,-122.26,2.6768,1.823
