,Unnamed: 0.1,Unnamed: 0,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedInc
15637,15637,15767,52.0,4.37,1.02,1170.0,1.91,37.77,-122.43,3.6894
13839,13839,13951,17.0,10.32,1.85,673.0,2.46,34.24,-117.13,5.2563
2295,2295,2308,15.0,6.33,0.99,1411.0,3.2,36.83,-119.75,4.9292
4772,4772,4806,49.0,4.14,0.95,896.0,2.3,34.02,-118.34,2.5156
15327,15327,15453,17.0,6.06,0.94,781.0,2.78,33.16,-117.31,5.6605
3278,3278,3295,16.0,6.29,1.41,337.0,2.17,38.99,-122.52,1.6607
7065,7065,7119,35.0,5.69,1.11,744.0,2.95,33.9,-118.03,3.7308
5926,5926,5972,16.0,6.07,1.02,3575.0,2.41,34.12,-117.76,4.2415
11734,11734,11828,4.0,6.3,0.85,93.0,3.44,39.0,-121.0,10.9891
1695,1695,1703,20.0,5.91,1.09,1512.0,2.61,37.97,-122.29,4.4911
19914,19914,20088,22.0,9.4,1.72,1086.0,2.45,38.04,-120.25,2.5562
7182,7182,7236,42.0,3.93,1.02,1841.0,3.67,34.01,-118.14,2.5326
15511,15511,15639,52.0,4.3,1.05,1156.0,1.78,37.8,-122.42,4.3472
1649,1649,1655,14.0,7.88,0.99,764.0,3.38,37.92,-121.99,9.0243
19831,19831,20004,41.0,5.88,1.09,408.0,3.16,36.14,-119.19,3.9
770,770,771,29.0,4.22,1.07,2332.0,3.87,37.66,-122.11,3.2091
1541,1541,1544,23.0,7.3,0.99,1043.0,2.97,37.73,-121.93,6.2048
1145,1145,1146,35.0,6.2,1.45,221.0,2.17,39.65,-121.24,2.3684
1511,1511,1513,15.0,4.19,1.1,2133.0,1.66,37.91,-122.06,4.1612
16842,16842,16982,36.0,6.07,1.0,750.0,3.3,37.56,-122.3,5.5381
7043,7043,7097,27.0,6.7,1.03,1793.0,3.25,33.92,-117.98,5.3668
19884,19884,20057,18.0,4.73,1.08,1839.0,4.69,35.89,-119.27,1.7572
15013,15013,15136,16.0,5.72,1.02,2188.0,2.68,32.84,-116.92,4.6674
10467,10467,10546,12.0,6.85,0.98,2042.0,3.47,33.7,-117.76,7.9125
11568,11568,11662,26.0,5.94,0.97,1290.0,3.27,33.86,-118.02,5.6677
8537,8537,8601,27.0,5.16,1.01,811.0,2.48,33.88,-118.37,4.5357
3717,3717,3738,25.0,4.33,1.13,2454.0,2.8,34.19,-118.39,2.9982
4047,4047,4074,44.0,7.84,1.11,498.0,2.31,34.14,-118.43,10.9237
3324,3324,3342,21.0,4.97,1.13,727.0,2.53,38.73,-122.62,2.1474
7448,7448,7506,37.0,5.15,1.05,729.0,5.06,33.92,-118.28,3.055
8294,8294,8358,47.0,4.91,1.11,704.0,2.67,33.96,-118.32,3.3214
18044,18044,18196,36.0,5.33,0.97,1348.0,3.63,37.39,-122.01,5.6447
9900,9900,9973,24.0,7.54,1.25,564.0,2.44,38.53,-122.4,3.6118
12399,12399,12499,52.0,5.36,1.14,326.0,2.16,38.57,-121.46,3.1583
13447,13447,13556,28.0,4.43,1.15,2406.0,3.67,34.1,-117.31,1.5208
1551,1551,1554,16.0,7.28,0.96,1027.0,2.99,37.8,-121.98,8.155
7073,7073,7127,28.0,5.78,0.91,1099.0,3.2,34.02,-118.09,4.5526
15155,15155,15278,21.0,4.36,1.14,948.0,2.03,33.07,-117.31,3.2984
16821,16821,16960,43.0,4.71,0.99,984.0,2.65,37.53,-122.3,4.5116
2287,2287,2300,28.0,6.07,1.07,663.0,2.35,36.81,-119.77,3.567
18688,18688,18841,29.0,5.27,1.08,848.0,2.59,41.53,-122.56,2.2024
11853,11853,11947,34.0,5.55,0.96,880.0,3.1,33.93,-117.44,4.6327
19959,19959,20133,30.0,4.88,1.05,2065.0,3.52,34.4,-118.91,3.2024
20152,20152,20327,21.0,7.53,1.0,2982.0,3.02,34.24,-119.06,7.6775
18640,18640,18793,13.0,5.85,0.94,1361.0,2.64,40.52,-122.66,4.5357
11894,11894,11988,36.0,5.64,1.11,2258.0,3.36,34.0,-117.51,3.2067
4077,4077,4105,41.0,5.11,1.06,1237.0,1.94,34.12,-118.34,4.2415
7478,7478,7536,23.0,2.27,1.0,1856.0,4.55,33.92,-118.22,2.1366
9738,9738,9811,28.0,11.63,1.51,569.0,2.1,36.57,-121.94,14.4113
2773,2773,2787,26.0,5.99,1.0,1385.0,2.65,37.37,-118.45,4.337
6438,6438,6488,29.0,4.93,1.08,2331.0,3.38,34.09,-118.01,3.6094
11764,11764,11858,24.0,5.95,1.14,641.0,2.34,40.08,-120.91,2.2067
19760,19760,19933,15.0,6.03,1.2,1480.0,3.12,36.3,-119.32,2.9698
19091,19091,19248,16.0,5.48,1.1,525.0,2.02,38.47,-122.74,3.0714
19715,19715,19887,29.0,5.09,1.0,942.0,2.93,36.29,-119.12,2.1731
9786,9786,9859,31.0,3.47,0.95,762.0,2.53,36.6,-121.86,3.038
7301,7301,7356,24.0,3.4,1.05,2480.0,5.16,33.96,-118.16,2.4432
17262,17262,17408,23.0,4.03,1.03,1322.0,3.93,34.97,-120.54,1.8185
16901,16901,17044,29.0,6.62,1.01,1638.0,2.61,37.49,-122.28,6.912
4916,4916,4950,50.0,4.99,1.21,912.0,3.11,34.01,-118.31,1.7386
6410,6410,6460,36.0,5.46,1.08,889.0,3.02,34.1,-118.05,4.7931
19068,19068,19225,23.0,6.87,1.07,902.0,2.7,38.48,-122.72,6.0298
18600,18600,18753,21.0,5.01,1.05,875.0,2.47,40.69,-122.38,1.7422
5290,5290,5332,21.0,3.55,1.05,2719.0,1.91,34.04,-118.47,3.5335
12883,12883,12986,23.0,6.15,0.97,1022.0,2.93,38.67,-121.3,4.2037
1301,1301,1302,26.0,5.94,1.01,1806.0,3.19,38.0,-121.85,4.2647
11002,11002,11092,15.0,5.8,1.01,1268.0,2.39,33.81,-117.87,3.7604
18082,18082,18234,27.0,3.14,1.06,2314.0,2.13,37.4,-122.1,3.4868
15442,15442,15568,16.0,8.26,1.03,1902.0,3.36,33.09,-117.04,6.1834
20380,20380,20560,38.0,6.41,1.04,1123.0,2.44,38.67,-121.78,4.0556
10348,10348,10425,4.0,7.27,1.03,805.0,2.97,33.47,-117.63,7.6012
17927,17927,18078,28.0,7.97,0.99,1415.0,2.95,37.27,-122.01,10.675
1421,1421,1423,16.0,4.68,0.94,356.0,1.53,38.0,-122.05,2.3462
20358,20358,20538,30.0,5.1,0.97,1623.0,2.5,38.56,-121.73,2.8614
