,MedHouseVal
15637,4.188
13839,1.441
2295,1.094
4772,1.366
15327,2.244
3278,0.778
7065,2.024
5926,2.757
11734,3.125
1695,2.274
19914,1.362
7182,1.565
15511,5.00001
1649,4.277
19831,0.859
770,1.5
1541,2.75
1145,0.625
1511,2.328
16842,2.82
7043,2.198
19884,0.533
15013,1.78
10467,3.449
11568,2.207
8537,3.342
3717,2.042
4047,5.00001
3324,0.853
7448,1.054
8294,1.665
18044,2.526
9900,2.484
12399,1.4
13447,0.695
1551,3.437
7073,2.502
15155,3.694
16821,3.378
2287,0.855
18688,0.609
11853,1.16
19959,1.761
20152,3.912
18640,1.712
11894,1.247
4077,4.096
7478,1.0
9738,5.00001
2773,1.397
6438,1.792
11764,0.696
19760,0.934
19091,1.617
19715,0.662
9786,1.953
7301,1.875
17262,0.978
16901,4.572
4916,1.094
6410,2.726
19068,2.891
18600,0.615
5290,2.688
12883,1.254
1301,1.334
11002,2.801
18082,1.656
15442,3.356
20380,1.469
10348,3.108
17927,5.00001
1421,0.75
20358,1.452
11476,1.958
14186,1.563
18241,2.795
5833,2.679
7011,1.772
1507,3.512
18507,2.643
1896,1.214
3847,2.991
12102,1.556
11339,2.815
14497,1.333
1083,0.55
19086,2.483
12859,1.319
3457,3.44
7445,0.933
11363,3.976
20278,2.099
7465,1.029
12459,0.583
19547,0.712
15237,2.573
2584,0.367
15165,5.00001
11173,1.678
14403,1.547
9066,1.418
305,0.912
20056,3.955
7575,2.379
11963,1.07
10317,1.708
18921,2.132
2163,0.813
6995,1.49
1599,4.261
15271,2.722
1346,1.66
15723,2.989
8505,5.00001
11046,2.035
14714,1.089
6764,2.141
622,1.567
5978,1.343
6736,2.31
10592,5.00001
3810,2.256
2812,2.0
15822,2.706
13626,1.734
3768,3.25
3914,2.282
10473,3.556
8222,3.429
1363,2.25
15343,1.96
16843,2.894
17557,2.125
20071,2.09
12625,1.701
17979,3.5
18988,1.216
9389,0.715
9619,1.603
7645,2.772
15418,3.53
7912,1.555
7681,1.997
8801,5.00001
9580,0.675
14780,1.219
13246,1.951
17740,1.125
14769,1.504
78,1.125
12780,1.185
13696,0.616
7960,2.16
8666,2.707
19115,1.8
8463,2.459
18079,2.298
17806,3.021
1265,2.135
3944,2.202
11081,2.181
9142,1.136
6374,1.669
14475,1.976
2894,0.827
889,3.524
3653,1.868
14997,1.5
536,2.0
6726,5.0
586,2.068
16172,1.733
19580,0.889
11927,1.392
15714,3.259
14928,1.432
28,1.089
12116,1.875
9362,2.388
16589,2.929
788,1.809
17815,2.177
7308,1.662
11616,1.278
13363,1.224
8899,3.149
13215,1.104
4548,1.775
1253,0.758
3478,1.858
2508,0.675
1546,1.572
19566,0.922
4733,1.222
15209,0.912
13328,1.138
3082,0.72
14998,1.61
16447,1.648
9846,2.093
15963,2.963
13321,1.119
14396,2.146
17131,2.832
15213,2.155
11928,1.434
9253,2.708
10254,2.664
19551,1.104
20156,3.119
8726,5.00001
712,1.75
5454,2.72
13094,1.144
5272,5.00001
10665,0.938
14350,3.923
7222,1.003
17415,1.849
11469,1.777
16788,2.331
14432,3.705
3328,0.592
5949,1.121
4423,1.425
3393,1.663
6655,2.25
1715,0.804
883,1.962
5502,4.348
17138,3.462
9073,2.94
9781,5.00001
11442,0.543
5538,2.136
571,2.529
19355,0.675
9431,1.01
6591,1.375
7458,1.193
15617,4.75
6831,1.851
2545,0.675
14959,1.375
5222,5.00001
11468,1.909
10609,0.803
1506,2.347
18745,1.031
18983,2.581
11819,1.165
13893,4.085
20403,1.375
16985,1.455
8522,5.00001
1368,1.508
19092,0.915
16636,2.294
19751,0.828
16918,2.656
7267,1.644
4284,1.65
3821,1.583
5398,3.622
6929,2.735
4518,1.333
2399,0.905
8510,5.00001
12479,0.668
10903,2.169
11765,0.58
2093,0.483
9870,1.067
8994,1.265
7913,1.582
8693,4.583
20042,3.964
8658,3.43
6544,5.00001
18417,1.778
1176,0.394
6174,1.875
19429,0.654
13391,0.816
10040,1.45
13268,3.15
18968,2.276
6197,1.58
399,2.614
803,1.582
1762,1.047
20186,2.356
6112,1.954
15154,3.571
11882,1.713
15435,1.728
17298,2.393
2439,0.701
13245,1.754
6683,5.00001
48,1.875
20217,2.871
8332,2.625
10860,1.485
11624,1.969
1333,1.617
8143,1.537
1234,1.115
12205,1.434
14319,2.348
888,3.334
2084,0.534
8327,1.609
16266,1.577
7694,1.969
4053,2.631
11533,3.988
17385,1.906
19279,1.581
16473,1.627
15124,2.313
8698,3.568
7968,2.132
9121,0.14999
17290,1.38
10033,1.782
15927,3.398
720,1.702
18754,1.237
8691,3.788
19297,2.905
17274,0.833
3090,1.09
2442,0.827
2797,0.546
11257,1.904
14338,4.1
1774,0.797
9420,1.188
20234,2.646
18277,2.241
1197,0.562
3295,1.142
15275,1.908
6072,1.495
10359,1.875
12000,1.232
13496,1.237
12482,0.721
12804,1.621
9531,0.609
1124,0.808
3282,0.588
275,2.407
5083,0.99
5882,1.617
1073,1.114
4982,1.333
17407,1.75
8563,4.955
376,0.952
15097,2.465
18232,4.183
18307,2.607
2044,0.742
15942,3.213
5935,1.219
8345,1.625
11312,2.258
4596,1.667
14673,1.356
5204,5.00001
9031,1.516
14474,1.981
6727,4.351
9256,2.313
18156,4.438
2947,1.75
8657,3.536
11041,1.839
1754,1.358
20249,5.00001
10377,5.00001
10962,2.0
1964,1.188
375,1.18
13265,1.315
4820,1.566
6121,1.919
12135,1.128
1710,0.851
10932,3.346
18594,1.167
3219,0.532
10887,2.047
4678,4.0
10990,2.449
9533,0.878
1040,0.991
3412,1.396
2200,0.73
16059,1.104
18914,2.483
16318,1.254
2406,0.661
16121,0.542
1242,0.592
12578,1.309
12927,1.71
19029,2.211
16928,3.66
9012,0.949
16156,0.804
14703,0.475
8046,1.604
1460,1.79
7587,1.653
10419,1.264
16016,3.667
17881,2.905
13450,0.752
14164,0.875
11212,1.338
8716,3.151
13307,1.125
4425,1.538
1891,1.078
2232,0.93
17185,3.902
10006,1.808
5979,1.357
8363,2.0
13143,1.766
10085,3.469
14229,2.55
18919,1.713
15052,3.282
1846,0.669
3026,0.654
18240,2.793
7776,1.461
16467,1.617
6056,1.413
17547,1.235
9662,1.557
10471,2.746
17830,3.07
19885,0.437
10522,3.429
117,2.341
9783,3.477
6865,4.538
16888,2.894
14846,1.781
17295,1.983
12868,1.464
15197,1.457
8356,1.677
19510,0.74
13241,1.37
8278,1.484
4137,1.857
822,1.639
7101,1.946
13457,1.221
6067,1.382
10529,2.368
8887,2.664
1039,1.134
1166,0.531
19923,0.933
13809,0.577
6254,1.719
17907,5.00001
13855,1.33
11659,2.644
6345,5.00001
17155,3.46
13796,0.978
10058,2.217
15188,1.063
1354,1.002
6731,3.644
14155,0.657
2388,0.905
5577,1.631
1351,0.953
10599,4.261
12277,1.319
180,1.693
7373,1.608
16945,1.667
14947,1.136
19521,0.53
13286,1.188
10449,3.183
16407,1.168
19268,1.969
11114,1.606
4809,1.196
13817,0.704
4922,1.232
4483,1.426
12779,1.24
8635,2.796
15860,3.663
6016,2.212
10514,3.255
5845,2.469
16958,3.427
1775,0.716
8587,4.007
5909,1.708
14549,1.749
8878,4.801
5710,3.58
8674,3.617
2466,0.875
8251,4.147
19213,1.733
7219,0.964
16167,2.258
19891,1.126
7185,1.543
19702,0.541
2257,0.588
869,3.0
18779,3.288
1973,1.414
18193,3.786
6745,1.7
19858,0.78
2880,0.581
12372,1.151
6614,2.15
5282,4.773
9,2.611
18018,3.78
11669,2.674
397,2.167
738,1.883
20431,0.47
4020,5.00001
14666,1.444
9772,2.893
16950,3.186
15600,1.469
7340,0.981
9918,1.444
15234,1.279
19669,0.713
3099,0.917
1790,0.938
13504,0.834
200,0.808
3724,3.647
20406,0.963
2384,1.792
6673,2.15
18817,1.913
8130,2.362
5869,1.388
5830,2.325
13113,1.797
17223,2.183
6512,2.34
18624,0.806
501,1.423
16529,2.08
17227,1.629
17538,1.786
6341,5.00001
451,2.778
18157,4.329
13912,1.798
16072,0.638
5405,3.354
19728,0.629
18822,1.379
7405,1.472
7024,2.14
10905,2.342
4229,4.688
1983,0.53
14687,1.875
4749,1.375
15858,3.61
14813,1.935
12142,1.323
13003,0.912
8540,3.407
17974,2.312
5377,5.00001
7955,2.196
17778,2.661
854,1.781
1633,5.00001
6661,5.00001
1779,1.216
18237,3.942
8609,4.272
11160,1.965
10556,2.395
15908,2.394
17016,5.00001
8350,1.446
12114,2.219
19579,0.541
9076,1.594
9865,1.875
17260,1.206
9940,1.403
16809,4.646
7757,2.365
5813,2.355
5424,4.143
4560,1.625
1129,0.967
559,2.409
12227,0.785
10624,0.804
1674,1.754
17340,2.063
5571,1.647
8439,2.349
2069,0.669
15854,3.296
4075,3.735
4685,3.1
3622,1.707
8091,2.328
17913,5.00001
18179,5.00001
12833,2.161
8422,1.551
12732,1.052
14660,1.353
10819,1.734
7374,1.542
5920,1.504
19062,1.903
11194,2.143
9237,2.77
18332,2.34
12618,1.486
10927,2.878
679,2.134
6398,4.302
2701,0.875
19875,0.652
4786,1.219
2850,0.676
1887,0.944
19158,2.968
13720,1.678
2147,0.722
14993,1.408
10587,5.00001
2978,1.098
7653,2.855
2409,0.842
3612,1.838
16007,4.417
626,1.789
704,2.992
3637,1.915
19837,0.415
14667,1.367
16116,0.752
173,1.518
1229,0.947
13755,1.257
6733,2.789
1405,1.793
7925,1.73
7857,2.259
15514,4.2
5611,3.685
7439,1.018
2482,0.689
18359,2.392
8120,2.473
5167,1.226
15818,2.65
7157,1.2
5446,3.431
14434,2.944
14191,0.911
2555,0.928
8455,2.42
2444,1.0
12503,0.544
10957,1.5
1668,1.345
18767,2.018
1568,3.866
7722,1.577
6386,2.122
5363,3.31
7826,2.858
9174,1.118
19174,2.519
17966,3.401
8079,2.231
14605,2.2
10604,1.618
6558,2.37
15698,3.556
13641,1.623
3524,3.759
6958,1.556
7582,2.124
2536,0.82
7934,2.09
5934,1.36
8113,2.433
20445,0.72
32,1.104
18590,0.759
14991,1.504
19806,1.289
1581,3.982
6078,1.534
20459,0.894
16304,1.207
10547,3.798
9675,1.357
9527,0.818
6291,2.132
5747,2.29
560,3.063
9292,4.705
4994,1.043
20114,1.951
7090,1.92
16660,2.684
11992,2.405
9632,2.142
2796,0.526
20308,2.38
12378,0.705
18168,5.00001
15328,1.114
15510,3.8
4590,4.45
16858,4.197
426,2.875
8646,3.482
4242,2.375
13999,0.903
462,2.113
9517,1.276
8695,4.103
18428,1.697
12092,1.113
20334,0.696
7547,1.032
11239,1.914
8573,5.00001
6521,1.616
15259,2.915
9633,2.21
19156,1.722
10507,1.872
17749,2.154
9658,2.299
708,1.703
17590,2.419
19304,1.303
16959,3.951
14357,3.636
1445,1.613
2050,0.612
17879,2.72
7811,1.955
7664,2.83
10831,1.77
9290,4.688
2524,0.6
3177,0.526
9434,1.421
14092,1.589
2952,1.034
18646,0.52
2276,0.709
714,1.5
4557,2.75
6164,2.494
16426,1.635
3921,2.586
6839,1.685
771,1.853
11098,1.863
2274,0.714
1196,0.735
2928,0.467
15186,3.133
18404,2.638
11936,1.211
11823,1.321
14591,2.22
1337,1.639
36,1.045
15427,1.399
8773,3.353
10213,2.317
20289,2.25
846,1.514
20087,2.576
14763,1.897
1807,2.534
6678,5.00001
8465,2.079
19980,4.276
8275,1.503
12038,1.435
4495,1.393
9010,1.268
1420,1.364
8203,1.75
11554,2.893
16112,0.557
6162,2.188
15696,2.75
7403,1.398
13446,0.634
19372,1.892
14723,1.18
7741,1.535
15747,2.553
2733,0.972
1437,2.115
12492,1.814
6116,1.765
8862,4.25
18832,1.438
4706,2.875
8606,3.812
3919,2.515
11261,1.563
9625,1.192
9656,1.853
6149,1.918
7343,1.099
8128,2.324
10502,2.728
4084,3.993
15802,2.713
12272,2.592
9445,1.096
18724,0.9
2042,0.493
9375,1.12
12799,1.358
721,1.809
11422,4.85
15655,2.75
3235,2.25
20016,2.673
16233,0.905
9149,0.505
466,1.823
4422,1.708
12175,1.188
12225,0.766
6338,4.847
8630,2.486
18348,2.625
2576,0.741
3150,0.614
4600,0.75
11756,0.888
3339,0.702
14355,2.05
14571,1.845
11703,0.821
20382,1.072
5215,5.00001
7902,1.567
960,2.629
1013,2.094
16668,2.188
8032,1.625
1924,1.989
9201,3.07
3936,1.823
7352,1.642
12231,0.666
16627,2.643
15702,3.75
553,2.34
17235,2.268
3387,2.006
9806,1.5
4210,4.344
10920,5.00001
7875,1.429
5343,3.667
311,0.857
6009,2.539
3287,0.602
3695,2.172
995,4.188
14590,1.804
1276,3.409
3723,3.847
1104,0.932
9830,2.811
16347,1.139
18910,2.717
1935,1.963
7166,1.66
10791,1.835
9815,1.546
5727,2.308
324,0.797
2227,1.588
14162,0.785
17348,5.00001
10591,5.00001
12071,1.265
19707,0.724
17405,1.773
11374,2.529
7918,1.648
18682,0.813
19645,0.656
10283,2.803
2906,0.7
13445,0.681
16602,2.581
3040,0.718
15848,3.677
5532,2.396
13415,0.868
15735,2.625
5661,3.417
1819,1.869
10772,2.331
14676,1.316
16855,5.00001
14398,1.761
11150,1.952
5758,1.875
11473,2.106
10332,2.608
4369,1.82
5632,4.019
5718,2.083
19432,1.297
3081,0.421
18869,1.322
6095,1.613
15336,1.357
1335,1.742
12615,1.368
15611,2.75
9916,1.434
17356,1.861
15965,2.915
11923,1.468
16289,1.235
11053,1.354
14040,1.855
17035,3.311
7927,1.613
17532,2.128
5462,3.029
10963,2.368
1669,1.502
17926,5.00001
11207,1.779
3084,0.875
6,2.992
1535,3.562
1595,3.482
3022,0.828
9112,3.237
15918,3.321
10326,3.02
1729,1.501
7988,2.138
12832,2.503
2772,1.188
8141,1.391
5304,4.275
8827,3.5
3910,2.584
18926,1.868
9778,1.781
11238,1.762
7276,1.654
4740,1.346
11407,1.694
5488,3.659
6163,2.683
13701,0.693
8504,5.00001
2250,0.555
6029,2.182
19515,0.641
19972,1.86
10645,4.421
15894,2.614
10268,2.274
15268,2.5
3782,2.413
3761,1.923
20175,3.19
11154,1.747
8200,2.2
9210,3.095
15032,3.149
14289,5.0
6871,1.71
5219,5.00001
4316,5.00001
4096,2.724
16573,2.048
5693,4.062
15738,2.333
6692,2.285
14909,1.651
129,3.115
13581,1.448
7066,2.137
14341,5.00001
1217,1.259
5281,5.00001
9893,2.485
12403,1.317
540,2.428
16157,0.672
19358,1.875
11982,2.579
16826,3.871
5481,3.16
1970,2.083
2718,0.694
3538,2.731
17894,3.963
14871,1.37
3159,1.014
8798,5.00001
12412,0.776
12273,0.991
16633,2.524
11454,2.356
16498,3.177
16631,2.391
8238,4.069
16621,2.925
9859,1.421
19179,1.393
16085,0.946
13020,1.567
3632,1.686
18137,5.00001
9927,2.096
10635,2.962
18851,1.375
12869,1.306
15420,1.77
16418,1.2
9695,0.766
11015,2.25
830,1.596
2389,0.922
4231,3.25
16735,4.5
14188,1.063
14157,0.901
9307,3.009
16927,3.118
19468,0.963
5793,3.412
18174,4.92
819,1.776
12728,0.939
6375,1.581
1761,1.146
11008,2.667
7849,1.953
6530,5.00001
6908,1.986
15399,1.363
11170,1.808
16857,4.388
3585,2.731
5318,5.00001
763,1.497
18058,3.75
2065,0.556
1227,0.919
18601,0.606
4822,1.121
17493,3.2
19100,2.131
5448,5.00001
1135,1.026
5149,0.913
15205,0.985
20052,1.605
8106,2.492
17402,1.537
19336,0.983
19467,1.375
7703,1.758
655,1.668
2160,0.845
13747,1.653
9558,0.774
2372,0.938
19606,0.595
